timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673813382353,859,Post user,200,OK,Crud users 1-1,text,true,,311,322,431,431,https://accor-fab.herokuapp.com/dev/users,858,0,646
1673813382431,800,Post user,200,OK,Crud users 1-41,text,true,,311,322,441,441,https://accor-fab.herokuapp.com/dev/users,799,0,625
1673813382435,854,Post user,200,OK,Crud users 1-43,text,true,,311,322,469,469,https://accor-fab.herokuapp.com/dev/users,854,0,654
1673813382438,855,Post user,200,OK,Crud users 1-45,text,true,,311,322,472,472,https://accor-fab.herokuapp.com/dev/users,855,0,675
1673813382422,877,Post user,200,OK,Crud users 1-37,text,true,,311,322,475,475,https://accor-fab.herokuapp.com/dev/users,877,0,677
1673813382432,870,Post user,200,OK,Crud users 1-42,text,true,,311,322,476,476,https://accor-fab.herokuapp.com/dev/users,870,0,655
1673813382408,894,Post user,200,OK,Crud users 1-30,text,true,,311,322,476,476,https://accor-fab.herokuapp.com/dev/users,894,0,678
1673813382420,882,Post user,200,OK,Crud users 1-36,text,true,,311,322,476,476,https://accor-fab.herokuapp.com/dev/users,882,0,665
1673813382405,913,Post user,200,OK,Crud users 1-28,text,true,,311,322,483,483,https://accor-fab.herokuapp.com/dev/users,913,0,701
1673813382437,881,Post user,200,OK,Crud users 1-44,text,true,,311,322,483,483,https://accor-fab.herokuapp.com/dev/users,881,0,650
1673813382414,910,Post user,200,OK,Crud users 1-33,text,true,,311,322,487,487,https://accor-fab.herokuapp.com/dev/users,910,0,690
1673813382413,911,Post user,200,OK,Crud users 1-32,text,true,,311,322,487,487,https://accor-fab.herokuapp.com/dev/users,911,0,694
1673813382419,916,Post user,200,OK,Crud users 1-35,text,true,,311,322,490,490,https://accor-fab.herokuapp.com/dev/users,916,0,664
1673813382365,986,Post user,200,OK,Crud users 1-7,text,true,,311,322,490,490,https://accor-fab.herokuapp.com/dev/users,986,0,754
1673813382441,917,Post user,500,Internal Server Error,Crud users 1-46,,false,,151,322,494,494,https://accor-fab.herokuapp.com/dev/users,917,0,708
1673813382426,942,Post user,200,OK,Crud users 1-38,text,true,,310,322,500,500,https://accor-fab.herokuapp.com/dev/users,942,0,660
1673813382411,960,Post user,200,OK,Crud users 1-31,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,883,0,667
1673813382481,897,Post user,200,OK,Crud users 1-66,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,897,0,698
1673813382520,860,Post user,200,OK,Crud users 1-86,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,860,0,672
1673813382402,979,Post user,200,OK,Crud users 1-27,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,979,0,778
1673813382406,975,Post user,200,OK,Crud users 1-29,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,975,0,743
1673813382523,858,Post user,200,OK,Crud users 1-87,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,858,0,656
1673813382417,965,Post user,200,OK,Crud users 1-34,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,965,0,671
1673813382391,991,Post user,200,OK,Crud users 1-21,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,991,0,759
1673813382541,846,Post user,200,OK,Crud users 1-96,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,846,0,639
1673813382519,868,Post user,500,Internal Server Error,Crud users 1-85,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,868,0,661
1673813382534,865,Post user,200,OK,Crud users 1-93,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,865,0,657
1673813382537,862,Post user,200,OK,Crud users 1-94,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,862,0,669
